episode,reward,score,lines,pieces,epsilon,loss,avg_reward_100,avg_lines_100
59,-360.6,0,0,26,0.7439808620067382,9.445855984321007,-370.08644067796615,0.06779661016949153
60,-368.0,0,0,22,0.7402609576967045,9.29804784601385,-370.0516666666667,0.06666666666666667
61,-385.1,0,0,26,0.736559652908221,9.346480387907762,-370.2983606557377,0.06557377049180328
62,-395.30000000000007,0,0,25,0.7328768546436799,9.144113636016845,-370.7016129032258,0.06451612903225806
63,-347.3,0,0,29,0.7292124703704616,9.126896414263495,-370.3301587301587,0.06349206349206349
64,-386.0,0,0,25,0.7255664080186093,8.961374282836914,-370.575,0.0625
65,-377.1,0,0,23,0.7219385759785162,8.897739742113197,-370.6753846153846,0.06153846153846154
66,-317.1,0,0,33,0.7183288830986236,9.009203318393592,-369.8636363636363,0.06060606060606061
67,-347.80000000000007,0,0,31,0.7147372386831305,8.861717347175844,-369.5343283582089,0.05970149253731343
68,-347.1,0,0,30,0.7111635524897149,8.48256230354309,-369.2044117647058,0.058823529411764705
69,-357.8,100,1,31,0.7076077347272662,8.58071937868672,-369.0391304347825,0.07246376811594203
